Game,CPU,GPU,RAM,File Size
inZOI,Intel Core i5-10400  / Ryzen 5 3600,NVIDIA GeForce RTX 2060  / Radeon RX 5600 XT,12 GB,60 GB
Assassin's Creed Shadows,Intel Core i7-8700K  / Ryzen 5 3600,NVIDIA GeForce GTX 1070  / Radeon RX 5700,16 GB,100 GB
Grand Theft Auto V,Intel Core i7-4770  / FX-9590,NVIDIA GeForce GTX 1630  / Radeon RX 6400,8 GB,105 GB
Schedule I,Intel Core i5-1300F,AMD Radeon RX 580  / GeForce GTX 1060,8 GB,8 GB
R.E.P.O.,Intel Core i5-6600,NVIDIA GeForce GTX 970,8 GB,1 GB
CS2,Intel Core i5-750,NVIDIA GeForce 610M,8 GB,85 GB
Monster Hunter Wilds,Intel Core i5-10400  / Ryzen 5 3600,NVIDIA GeForce GTX 1660  / Radeon RX 5500 XT,16 GB,75 GB
Marvel Rivals,Intel Core i5-6600K  / Ryzen 5 1600X,NVIDIA GeForce GTX 1060  / Radeon RX 580,16 GB,70 GB
Valorant,Intel Core 2 Duo E8400  / Athlon 200GE,Intel HD 4000  / Radeon R5 230,4 GB,30 GB
Cyberpunk 2077,Intel Core i7-6700  / Ryzen 5 1600,NVIDIA GeForce GTX 1060  / Radeon RX 580,12 GB,70 GB
Split Fiction,Intel Core i5-10400  / Ryzen 5 3600,NVIDIA GeForce RTX 2060  / Radeon RX 5600 XT,12 GB,40 GB
GTA 6,Intel Core i5-6600K,NVIDIA GeForce GTX 1660,12 GB,150 GB
Elden Ring,Intel Core i5-8400  / Ryzen 3 3300X,NVIDIA GeForce GTX 1060 3GB  / Radeon RX 580,12 GB,60 GB
Red Dead Redemption 2,AMD FX-6300,AMD Radeon R9 280,8 GB,150 GB
Fortnite,Intel Core i3-3225,Intel HD 4000  / Radeon HD 7870,8 GB,15 GB
Minecraft,Intel Celeron J4105  / FX-4100,Intel HD 4000  / Radeon R5 220,4 GB,1 GB
FragPunk,Intel Core i7-4790  / Ryzen 3 3100,NVIDIA GeForce GTX 750 Ti  / Radeon RX 550,8 GB,40 GB
Baldur's Gate 3,Intel Core i5-4690  / FX-8350,NVIDIA GeForce GTX 970  / Radeon RX 480,8 GB,150 GB
The Last of Us Part 2 Remastered,Intel Core i3-8100  / Ryzen 3 1300X,NVIDIA GeForce GTX 1650  / Radeon RX 5500 XT,16 GB,150 GB
EA SPORTS FC 25,Intel Core i5-6600K  / Ryzen 5 1600,NVIDIA GeForce GTX 1050 Ti  / Radeon RX 570,8 GB,100 GB
Kingdom Come: Deliverance II,Intel Core i5-8400  / Ryzen 5 2600,NVIDIA GeForce GTX 1060  / Radeon RX 580,16 GB,100 GB
Marvel's Spider-Man 2,Intel Core i3-8100  / Ryzen 3 3100,NVIDIA GeForce GTX 1650  / Radeon RX 5500 XT,16 GB,140 GB
HELLDIVERS 2,Intel Core i7-4790K  / Ryzen 5 1500X,AMD Radeon RX 470  / GeForce GTX 1050 Ti,8 GB,100 GB
PUBG: Battlegrounds,AMD FX-6300,AMD Radeon R9 270 / R7 370,8 GB,40 GB
Hogwarts Legacy,Intel Core i5-6600,NVIDIA GeForce GTX 980,16 GB,85 GB
Ghost of Tsushima DIRECTORS CUT,Intel Core i3-7100  / Ryzen 3 1200,NVIDIA GeForce GTX 960  / Radeon RX 5500 XT,8 GB,75 GB
Forza Horizon 5,Intel Core i5-4460,AMD Radeon RX 470,8 GB,110 GB
God of War Ragnarök,Intel Core i5-4670K  / Ryzen 3 1200,NVIDIA GeForce GTX 1060  / Radeon RX 5500 XT,8 GB,190 GB
The Last of Us,Intel Core i7-4770K  / Ryzen 5 1500X,NVIDIA GeForce GTX 970  / Radeon RX 470,16 GB,100 GB
Call of Duty: Warzone,Intel Core i3-4340  / FX-6300,NVIDIA GeForce GTX 670  / GeForce GTX 1650 / Radeon HD 7950,8 GB,175 GB
BLEACH Rebirth of Souls,Intel Core i7-9700K,NVIDIA GeForce RTX 2070,16 GB,75 GB
Windows 11,Intel Celeron G4900,NVIDIA GeForce GTX 1050,4 GB,64 GB
Genshin Impact,Intel Core i5-4460,NVIDIA GeForce GT 1030,8 GB,30 GB
GTA 4,AMD Athlon 64 X2 TK-55,ATI Radeon X1900,1.5 GB,16 GB
Rise of the Rōnin,Intel Core i5-7600K,NVIDIA GeForce GTX 1660,8 GB,80 GB
Ready Or Not,Intel Core i5-4430  / FX-6300,AMD Radeon R7 370  / GeForce GTX 960,8 GB,90 GB
Rust,Intel Core i7-3770,AMD Radeon R9 280,10 GB,35 GB
Microsoft Flight Simulator 2024,Intel Core i7-6800K  / Ryzen 5 2600X,AMD Radeon RX 5700  / GeForce GTX 970,16 GB,50 GB
Solo Leveling:Arise,Intel Core i3-3220,NVIDIA GeForce GTX 1050,8 GB,20 GB
Delta Force,Intel Core i3-4150  / FX-6300,NVIDIA GeForce GTX 960  / Radeon R9 380,12 GB,60 GB
WWE 2K25,Intel Core i5-4460,AMD Radeon RX 480  / GeForce GTX 1060,12 GB,103 GB
FIFA 23,Intel Core i5-6600K,NVIDIA GeForce GTX 1050 Ti,8 GB,100 GB
Atomfall,Intel Core i5-9400F,NVIDIA GeForce RTX 2060,16 GB,60 GB
Red Dead Redemption,AMD FX-6300,AMD Radeon R9 280,8 GB,20 GB
Wuthering Waves,Intel Core i5-9400  / Ryzen 7 2700U,NVIDIA GeForce GTX 1060  / Radeon RX 570,16 GB,30 GB
Call of Duty: Black Ops 6,Intel Core i3-8100,NVIDIA GeForce GTX 1660 Ti,12 GB,128 GB
Sons of the Forest,Intel Core i5-8400  / Ryzen 5 3600X,NVIDIA GeForce GTX 1060  / Radeon RX 5700 XT,12 GB,20 GB
Final Fantasy 16,Intel Core i5-8400  / Ryzen 5 1600,NVIDIA GeForce GTX 1070  / Radeon RX 5700,16 GB,170 GB
Battlefield 1,Intel Core i5-6600K,NVIDIA GeForce GTX 660,8 GB,50 GB
Adobe Photoshop,Intel Core i7-920,NVIDIA GeForce GTX 950,8 GB,4 GB
ARK: Survival Ascended,Intel Core i7-6800K  / Ryzen 5 2600X,NVIDIA GeForce GTX 1080  / Radeon RX 5600 XT,16 GB,70 GB
Black Myth: Wukong,Intel Core i5-8400  / Ryzen 5 1600,NVIDIA GeForce GTX 1060  / Radeon RX 580,16 GB,130 GB
Avowed,Intel Core i5-8400  / Ryzen 5 2600,NVIDIA GeForce GTX 1070  / Radeon RX 5700,16 GB,75 GB
The First Berserker: Khazan,Intel Core i3-6300  / Ryzen 3 1200,AMD Radeon RX 580  / GeForce GTX 970,12 GB,70 GB
Apex Legends,Intel Core i3-6300  / FX-4350,NVIDIA GeForce GT 640  / Radeon HD 7730,6 GB,22 GB
Wreckfest 2,Intel Core i5-8600,NVIDIA GeForce GTX 1060,8 GB,15 GB
The Witcher 3,AMD Phenom II X4 940,NVIDIA GeForce GTX 660,6 GB,35 GB
Tom Clancys Rainbow Six Siege,AMD Phenom II X4 945,NVIDIA GeForce GTX 460,6 GB,61 GB
Palworld,Intel Core i5-3570K,NVIDIA GeForce GTX 1050,16 GB,40 GB
Blood Strike,Intel Pentium 4 2.00GHz,NVIDIA GeForce 9400,4 GB,1 GB
World of Warcraft,Intel Core i5-4210H,NVIDIA GeForce GTX 960,8 GB,128 GB
God of War,Intel Core i5-2500K,NVIDIA GeForce GTX 960,8 GB,70 GB
Path of Exile 2,Intel Core i5-2500K,NVIDIA GeForce GTX 960  / Radeon RX 470,8 GB,100 GB
League of Legends,Intel Core i3-530,AMD Radeon HD 6570,2 GB,16 GB
F1® 24,Intel Core i5-9600K,Unknown,8 GB,100 GB
Stalker 2,Intel Core i7-7700K  / Ryzen 5 1600X,AMD Radeon RX 580  / GeForce GTX 1060,16 GB,160 GB
Star Citizen,Intel Core i7-4790K  / Ryzen 5 1600,NVIDIA GeForce GTX 970  / Radeon RX 570,16 GB,150 GB
Dota 2,Intel Pentium D 915,NVIDIA GeForce 8600 GT,4 GB,15 GB
Devil May Cry 5,Intel Core i7-4770,NVIDIA GeForce GTX 760,8 GB,35 GB
FIFA 19,Intel Core i3-2100,AMD Radeon R7 260,8 GB,50 GB
Adobe Premiere Pro,Intel Core i3-6100,NVIDIA GeForce GTX 970,8 GB,8 GB
Silent Hill 2,Intel Core i5-8400  / Ryzen 3 3300X,NVIDIA GeForce GTX 1080  / Radeon RX 5700 XT,12 GB,50 GB
Cricket 24,Intel Core i3-2100,NVIDIA GeForce GTX 770,8 GB,60 GB
Resident Evil 4 Remake,Intel Core i5-7500  / Ryzen 3 1200,NVIDIA GeForce GTX 1050 Ti  / Radeon RX 560,8 GB,40 GB
Cities Skylines 2,Intel Core i7-9700K  / Ryzen 5 2600X,NVIDIA GeForce GTX 970  / Radeon RX 470,8 GB,60 GB
Warframe,Intel Core 2 Duo E6400,Intel HD 3000,4 GB,10 GB
BeamNG.drive,Intel Core i3-6300  / FX-6300,NVIDIA GeForce GTX 550 Ti  / Radeon HD 7750,16 GB,45 GB
Kingdom Come: Deliverance,AMD Phenom II X4 940,NVIDIA GeForce GTX 660,8 GB,40 GB
DOOM 2016,Intel Core i5-2400,AMD Radeon HD 7870,8 GB,55 GB
Fallout 4,AMD Phenom II X4 945,AMD Radeon HD 7870,8 GB,30 GB
Forza Horizon 4,Intel Core i3-4170,NVIDIA GeForce GTX 650 Ti,8 GB,65 GB
Phasmophobia,AMD FX-8350,AMD Radeon R9 290 / 390,8 GB,16 GB
Starfield,Intel Core i7-6800K  / Ryzen 5 2600X,NVIDIA GeForce GTX 1070 Ti  / Radeon RX 5700,16 GB,125 GB
Blender,Intel Core i5-4590,NVIDIA GeForce GTS 450,8 GB,500 MB
NBA 2K25,Intel Core i3-9100,NVIDIA GeForce GTX 960,8 GB,150 GB
It Takes Two,Intel Core i3-2100T,AMD Radeon R7 260X,8 GB,50 GB
Zenless Zone Zero,Intel Core i5-7200U,NVIDIA GeForce GTX 970,8 GB,10 GB
No Man's Sky,Intel Core i3-3210,NVIDIA GeForce GTX 1060  / Radeon RX 470,8 GB,15 GB
Final Fantasy 7 Rebirth,AMD Ryzen 5 1400  / Core i3-8100,AMD Radeon RX 6600  / GeForce RTX 2060,16 GB,155 GB
War Thunder,Intel Core 2 Duo E8400,NVIDIA GeForce GTX 660  / Radeon HD 7750,4 GB,17 GB
Space Marine 2,Intel Core i5-8600K,NVIDIA GeForce GTX 1060,8 GB,75 GB
Sid Meier’s Civilization 7,Intel Core i3-10100  / Ryzen 3 1200,NVIDIA GeForce GTX 1050  / Radeon RX 460,8 GB,20 GB
Sekiro: Shadows Die Twice,Intel Core i3-2100,NVIDIA GeForce GTX 760,4 GB,25 GB
Bodycam,Intel Core i7-9700K  / Core i7-9700K,AMD Radeon RX 5700  / GeForce RTX 2070,8 GB,50 GB
Dragon's Dogma 2,Intel Core i5-10600  / Ryzen 5 3600,NVIDIA GeForce GTX 1070  / Radeon RX 5500 XT,16 GB,100 GB
Assassin's Creed Mirage,AMD Ryzen 5 1600  / Core i7-4790K,AMD Radeon RX 570  / GeForce GTX 1060,8 GB,40 GB
Mortal Kombat 1,Intel Core i5-6600  / Ryzen 3 3100,AMD Radeon RX 470  / GeForce GTX 980,8 GB,100 GB
Far Cry 4,Intel Core i5-750,ATI Radeon HD 5850,4 GB,30 GB
Euro Truck Simulator 2,Intel Celeron J1800,Intel HD 4000,4 GB,3 GB
Marvel’s Spider-Man Remastered,Intel Core i3-4160,NVIDIA GeForce GTX 950,8 GB,75 GB
eFootball PES 2021,Intel Core i5-3470,AMD Radeon HD 7870,8 GB,40 GB
Dune: Awakening,Intel Core i5-7400  / Ryzen 3 1200,NVIDIA GeForce GTX 1060  / Radeon RX 5600 XT,16 GB,60 GB
Diablo 4,Intel Core i5-2500K  / FX-8100,NVIDIA GeForce GTX 660  / Radeon R9 280,8 GB,90 GB
The Sims 4,Intel Core 2 Duo T7600,ATI Radeon HD 2600 PRO,2 GB,20 GB
Monster Hunter: World,Intel Core i5-4460,AMD Radeon R7 260X,8 GB,20 GB
Jurassic World Evolution 2,Intel Core i5-4590,NVIDIA GeForce GTX 1050 Ti,8 GB,14 GB
DayZ,Intel Core i5-4430,NVIDIA GeForce GTX 760,8 GB,16 GB
Once Human,Intel Core i5-4460,NVIDIA GeForce GTX 750 Ti,8 GB,50 GB
FiveM,Intel Core 2 Quad Q6600  / Phenom 9850,NVIDIA GeForce 9800 GT  / Radeon HD 4870 X2,8 GB,76 GB
HITMAN World of Assassination,Intel Core i5-2500K,AMD Radeon HD 7870,8 GB,60 GB
ARK: Survival Evolved,Intel Core i5-2400,AMD Radeon HD 7870,8 GB,60 GB
Assetto Corsa,Intel Core 2 Duo U7500,NVIDIA GeForce GTX 460,2 GB,15 GB
TEKKEN 8,Intel Core i5-6600K  / Ryzen 5 1600,NVIDIA GeForce GTX 1050 Ti  / Radeon R9 380X,8 GB,100 GB
Forza Horizon 3,Intel Core i5-3570,NVIDIA GeForce GTX 750 Ti,8 GB,55 GB
DOOM: The Dark Ages,Intel Core i7-10700K  / Ryzen 7 3700X,NVIDIA GeForce RTX 2060 SUPER  / Radeon RX 6600,16 GB,100 GB
Need for Speed Heat,AMD FX-6350,NVIDIA GeForce GTX 760,8 GB,50 GB
Indiana Jones and the Great Circle,Intel Core i7-10700K  / Ryzen 5 3600,NVIDIA GeForce RTX 2060 SUPER  / Radeon RX 6600,16 GB,120 GB
Microsoft Flight Simulator 2020,Intel Core i5-4460,AMD Radeon RX 570,8 GB,150 GB
THE FINALS,Intel Core i5-6600K,NVIDIA GeForce GTX 960,12 GB,15 GB
Lethal Company,Intel Core i5-7400,NVIDIA GeForce GTX 1050,4 GB,1 GB
Far Cry 5,AMD FX-6300,NVIDIA GeForce GTX 670,8 GB,40 GB
Batman: Arkham Knight,Intel Core i5-750,AMD Radeon HD 7870,6 GB,45 GB
Half-Life: Alyx,Intel Core i5-7500,NVIDIA GeForce GTX 1060,12 GB,67 GB
Roblox,Intel Celeron D 430,AMD Radeon 9500,1 GB,1 GB
Escape From Tarkov,Intel Core i3-530  / Phenom II X4 955,NVIDIA GeForce GTX 950  / Radeon R9 270X,8 GB,19 GB
Destiny 2,AMD FX-4350  / Core i3-3250,AMD Radeon HD 7850  / GeForce GTX 660,6 GB,105 GB
Manor Lords,Intel Core i5-4670  / FX-4350,NVIDIA GeForce GTX 1050  / Radeon RX 460,8 GB,16 GB
The Forest,Intel Core 2 Duo T7700,NVIDIA GeForce 8800 GT,4 GB,5 GB
Mount & Blade II: Bannerlord,Intel Core i3-8100,AMD Radeon HD 7850,6 GB,60 GB
A Way Out,Intel Core i3-2100T,AMD Radeon HD 7750,8 GB,25 GB
Overwatch 2,Intel Core i3-530  / Phenom 8650,NVIDIA GeForce GTX 650  / Radeon HD 7350,6 GB,50 GB
Farming Simulator 25,Intel Core i5-6400  / Ryzen 5 1400,NVIDIA GeForce GTX 1050 Ti  / Radeon RX 470,8 GB,45 GB
Satisfactory,Intel Core i5-3570,NVIDIA GeForce GTX 1650,8 GB,15 GB
Enshrouded,Intel Core i5-6400  / Ryzen 5 1500X,NVIDIA GeForce GTX 1060  / Radeon RX 580,16 GB,60 GB
South of Midnight,Intel Core i3-8100  / Ryzen 3 1300X,NVIDIA GeForce GTX 1060  / Radeon RX 580,12 GB,55 GB
Far Cry 3,Intel Core 2 Duo E6700,NVIDIA GeForce 8500 GT,4 GB,15 GB
Half Sword,Intel Core i5-12400T,Unknown,4 GB,Unknown
Borderlands 3,Intel Core i5-3570,NVIDIA GeForce GTX 680,6 GB,75 GB
Call of Duty: Modern Warfare,Intel Core i5-2500,AMD Radeon R9 380,8 GB,50 GB
EA SPORTS FC 24,Intel Core i5-6600K,Unknown,8 GB,100 GB
DARK SOULS III,Intel Core i3-2100,NVIDIA GeForce GTX 750 Ti,4 GB,25 GB
Skyrim,Intel Core 2 Duo E4400,AMD Radeon X1950 Pro,2 GB,6 GB
Arma 3,Intel Core 2 Duo E8400,AMD Radeon HD 5670,4 GB,32 GB
Sea of Thieves,Intel Core 2 Quad Q9450,NVIDIA GeForce GTX 650,4 GB,50 GB
Death Stranding,Intel Core i5-3470,AMD Radeon RX 560,8 GB,80 GB
eFootball 2022,Intel Core i5-2300,AMD Radeon HD 7790,8 GB,50 GB
Mortal Kombat 11,Intel Core i5-750,NVIDIA GeForce GTX 1050,8 GB,Unknown
Battlefield 2042,Intel Core i5-6600K,AMD Radeon RX 560,8 GB,100 GB
Dying Light,AMD FX-8320,NVIDIA GeForce GTX 560,4 GB,40 GB
TEKKEN 7,Intel Core i3-4160,NVIDIA GeForce GTX 660,6 GB,60 GB
Assassin's Creed Unity,Intel Core i5-2500K,NVIDIA GeForce GTX 680,6 GB,50 GB
HITMAN,Intel Core i5-2500K,AMD Radeon HD 7870,8 GB,50 GB
Mortal Shell,Intel Core i5-4590,NVIDIA GeForce GTX 970,8 GB,12 GB
Rocket League,Intel Core 2 Duo E4600,ATI Radeon HD 4850,2 GB,7 GB
Project Zomboid,Intel Core 2 Quad Q9705,AMD Radeon HD 5450,8 GB,7 GB
Cities Skylines,Intel Core 2 Duo T7600,NVIDIA GeForce GTX 260,4 GB,4 GB
UNCHARTED™: Legacy of Thieves Collection,Intel Core i5-4330M  / Ryzen 3 1200,NVIDIA GeForce GTX 960  / Radeon R9 290X,8 GB,126 GB
Arena Breakout: Infinite,Intel Core i5-7500  / Ryzen 5 1400,NVIDIA GeForce GTX 960  / Radeon RX 560,16 GB,60 GB
Detroit: Become Human,Intel Core i7-3770,NVIDIA GeForce GTX 780 Ti,8 GB,Unknown
AI Limit,Intel Core i5-8400,Unknown,12 GB,30 GB
Watch Dogs 2,AMD FX-6300,NVIDIA GeForce GTX 660,6 GB,27 GB
Battlefield 5,Intel Core i5-6600K,NVIDIA GeForce GTX 1050,8 GB,50 GB
Arma Reforger,Intel Core i5-4460,Unknown,8 GB,20 GB
Dragon Age Veilguard,Intel Core i5-8400  / Ryzen 3 3300X,NVIDIA GeForce GTX 970  / Radeon R9 290X,16 GB,100 GB
Call of Duty Black Ops 3,Intel Core i3-530,AMD Radeon HD 6970,6 GB,100 GB
Assassin's Creed IV Black Flag,Intel Core 2 Quad Q8400,ATI Radeon HD 4870,2 GB,30 GB
Free Fire MAX,Intel Core i7-2600,Intel UHD 630,8 GB,10 GB
Assassin's Creed Valhalla,Intel Core i5-4460,NVIDIA GeForce GTX 960,8 GB,50 GB
Assassin's Creed Odyssey,Intel Core i5-2400,NVIDIA GeForce GTX 660,8 GB,46 GB
Valheim,Intel Core 2 Duo Q6867,Unknown,4 GB,1 GB
Total War: Warhammer 3,Intel Core i3-2120,AMD Radeon RX 460,6 GB,120 GB
Subnautica,Intel Core i5-4200M,Intel HD 4600,4 GB,20 GB
Hitman 3,Intel Core i5-2500K,NVIDIA GeForce GTX 660,8 GB,80 GB
Elden Ring Nightreign,Intel Core i5-10600  / Ryzen 5 5500,NVIDIA GeForce GTX 1060,12 GB,30 GB
Dead by Daylight,Intel Core i3-4170,NVIDIA GeForce GTX 460,8 GB,25 GB
Far Cry 6,Intel Core i5-4460,NVIDIA GeForce GTX 960,8 GB,60 GB
Persona 5 Royal,Intel Core i7-4790,AMD Radeon R7 360  / GeForce GTX 650 Ti,8 GB,41 GB
Squad,Intel Core i5-2500K,AMD Radeon HD 7870,8 GB,35 GB
Dying Light 2,Intel Core i3-9100,AMD Radeon RX 560,8 GB,60 GB
FIFA 22,AMD Athlon X4 880K,AMD Radeon HD 7850,8 GB,50 GB
Mortal Kombat X,Intel Core i5-750,ATI Radeon HD 5850,3 GB,36 GB
Crusader Kings 3,Intel Core i3-2120,AMD Radeon HD 7870,6 GB,8 GB
GTA: San Andreas,Intel Core i5-6600K,NVIDIA GeForce GTX 760,8 GB,45 GB
Star Wars Jedi: Survivor,Intel Core i7-7700  / Ryzen 5 1400,NVIDIA GeForce GTX 1070  / Radeon RX 580,8 GB,155 GB
Conan Exiles,AMD FX-6300,NVIDIA GeForce GTX 770,6 GB,50 GB
DARK SOULS: REMASTERED,Intel Core i5-2300,AMD Radeon HD 6870,6 GB,8 GB
Assassin's Creed Origins,AMD FX-6350,NVIDIA GeForce GTX 660,6 GB,42 GB
DRAGON BALL: Sparking! ZERO,Intel Core i5-9600K  / Ryzen 5 2600,NVIDIA GeForce GTX 980  / Radeon RX 590,8 GB,29 GB
Call of Duty Black Ops 2,Intel Core 2 Duo E8200,ATI Radeon HD 3870,2 GB,16 GB
FINAL FANTASY 14,Intel Core i7-7700,AMD Radeon RX 480  / GeForce GTX 970,8 GB,140 GB
Age of Empires 4,Intel Core i5-6300U,AMD Radeon RX Vega,8 GB,50 GB
Resident Evil 2,Intel Core i5-4460  / FX-6300,NVIDIA GeForce GTX 960  / Radeon RX 460,8 GB,26 GB
Mafia III,Intel Core i5-2500K,AMD Radeon HD 7870,6 GB,50 GB
Monster Hunter Rise,AMD FX-6100,AMD Radeon RX 550,8 GB,23 GB
Tom Clancy's Ghost Recon Breakpoint,Intel Core i5-4460,Unknown,8 GB,67 GB
World War Z: Aftermath,Intel Core i3-3220,NVIDIA GeForce GTX 650 Ti,8 GB,50 GB
Atelier Yumia: The Alchemist of Memories & the Envisioned Land,Intel Core i3-8100,NVIDIA GeForce GTX 1650,8 GB,40 GB
Raft,Intel Core 2 Duo Q6867,NVIDIA GeForce GTX 560,4 GB,6 GB
Battlefield 4,Intel Core 2 Duo Q6867,ATI Radeon HD 3870,4 GB,30 GB
DOOM Eternal,Intel Core i5-661,AMD Radeon R9 280,8 GB,50 GB
Tom Clancy's Ghost Recon Wildlands,AMD FX-4320,NVIDIA GeForce GTX 660,6 GB,50 GB
GTA: Vice City,Intel Core i5-6600K,Unknown,8 GB,45 GB
Hell Let Loose,Intel Core i5-6600,NVIDIA GeForce GTX 960,12 GB,30 GB
Need for Speed Unbound,Intel Core i5-8600,NVIDIA GeForce GTX 1050 Ti,8 GB,50 GB
Just Cause 3,Intel Core i5-2500K,AMD Radeon HD 7870,8 GB,54 GB
Anno 1800,Intel Core i5-4460,AMD Radeon R9 270X,8 GB,40 GB
Yandere Simulator,Intel Core i5-750,NVIDIA GeForce GT 1030,4 GB,2 GB
Horizon Forbidden West Complete Edition,Intel Core i3-8100  / Ryzen 3 1300X,NVIDIA GeForce GTX 1650  / Radeon RX 5500 XT,16 GB,150 GB
Hitman: Absolution,Intel Core 2 Duo U7600,AMD Radeon HD 3450,2 GB,24 GB
Death Stranding 2 On the Beach,Intel Core i7-3770S,NVIDIA GeForce GTX 1060,12 GB,100 GB
NieR:Automata,Intel Core i3-2100,AMD Radeon R9 270X,4 GB,50 GB
Watch Dogs,Intel Core 2 Quad Q8400,ATI Radeon HD 5770,6 GB,25 GB
STEEL HUNTERS,Intel Core i5-8400,Unknown,16 GB,32 GB
Days Gone,Intel Core i5-2500K,NVIDIA GeForce GTX 780,8 GB,70 GB
Gray Zone Warfare,Intel Core i5-8600  / Ryzen 5 2600,NVIDIA GeForce GTX 1080  / Radeon RX 5700,16 GB,40 GB
Sleeping Dogs,Intel Core 2 Duo Q6867,NVIDIA GeForce 8800 GT,2 GB,15 GB
