Game,CPU,GPU,RAM,File Size
Infection Free Zone,Intel Core i5-3570K,Unknown,8 GB,5 GB
Krita,Intel Core 2 Duo T5200,Intel 82945G Express,2 GB,300 MB
Neverwinter,Intel Core 2 Duo E8400,AMD Radeon X1300,2 GB,23 GB
Stay Out,Intel Core i5-12400T,Unknown,7.81 GB,21 GB
Orcs Must Die! Deathtrap,Intel Core i5-12400T,Unknown,8 GB,15 GB
DC Universe Online,Intel Core 2 Duo E8400,NVIDIA GeForce 7800 GTX,1 GB,30 GB
Undawn,Intel Core i5-4430,NVIDIA GeForce GTX 660,4 GB,20 GB
Evil Genius 2: World Domination,Intel Core i3-8100,AMD Radeon RX 550,8 GB,18 GB
Norland,Intel Core i3-8100,NVIDIA GeForce GTX 1060,8 GB,1 GB
Train Simulator 2020,Intel Core i3-4330,Unknown,4 GB,40 GB
Starship Troopers: Extermination,Intel Core i3-8100,Unknown,12 GB,20 GB
ACE COMBAT 7: SKIES UNKNOWN,Intel Core i3-7100,NVIDIA GeForce GTX 750 Ti,4 GB,50 GB
Blasphemous 2,Intel Core 2 Duo E8400,Unknown,4 GB,4 GB
Yakuza Kiwami 2,Intel Core i5-3470,AMD Radeon HD 7870,4 GB,42 GB
KINGDOM HEARTS III + Re Mind (DLC),Intel Core i5-3330,NVIDIA GeForce GTX 760,8 GB,75 GB
Bully: Scholarship Edition,Intel Pentium 4 4.00GHz,AMD Radeon X1300,1 GB,7 GB
Stranded Deep,Intel Core 2 Duo T5600,Intel HD 5500,4 GB,1 GB
GoreBox,Intel Core i5-10400F,NVIDIA GeForce GT 1030,4 GB,1 GB
Metro: Last Light Redux,Intel Core 2 Duo T5850,NVIDIA GeForce 8800 GT,2 GB,10 GB
Subverse,Intel Core i5-7600K,AMD Radeon RX 570,8 GB,40 GB
Way of the Hunter,Intel Core i3-8100,AMD Radeon R9 380,8 GB,19 GB
Tomb Raider I-III Remastered,Intel Core i3-3240,Unknown,4 GB,5 GB
Alien: Isolation,Intel Core 2 Duo E8500,AMD Radeon HD 5550,4 GB,35 GB
Monster Hunter Stories 2: Wings of Ruin,Intel Core i5-3470,AMD Radeon RX 560,4 GB,28 GB
Police Simulator: Patrol Officers,Intel Core i3-2120,NVIDIA GeForce GTX 760,8 GB,12 GB
THE KING OF FIGHTERS XV,Intel Core i5-12400T,Unknown,8 GB,65 GB
Fae Farm,Intel Core i3-4160,Unknown,8 GB,5 GB
LEGO City Undercover,Intel Core i5-760,ATI Radeon HD 5850,4 GB,18 GB
MudRunner,Intel Core 2 Duo Q6867,NVIDIA GeForce 9600 GT,2 GB,1 GB
Ultimate Epic Battle Simulator 2,Intel Core i5-4590,AMD Radeon R5 M230,8 GB,20 GB
Assassin's Creed Revelations,Intel Core 2 Duo E4400,NVIDIA GeForce 6200,2 GB,12 GB
NBA 2K20,Intel Core i3-530,AMD Radeon HD 7770,4 GB,80 GB
SIGNALIS,Intel Core i5-2300,Unknown,4 GB,2 GB
Saints Row 3,Intel Core 2 Duo T7250,NVIDIA GeForce 8800 GT,2 GB,10 GB
LEGO MARVEL's Avengers,Intel Core 2 Quad Q6600,AMD Radeon HD 6850,4 GB,14 GB
We Were Here,Intel Core i3-4130,Intel HD 4000,4 GB,3 GB
Vigor,Intel Core i3-8100,Unknown,8 GB,18 GB
METAL GEAR SOLID 3: Snake Eater - Master Collection Version,Intel Core i5-7500,NVIDIA GeForce GTX 970,8 GB,15 GB
1000xRESIST,Intel Core i5-12400T,NVIDIA GeForce GTX 1650,8 GB,10 GB
RIDE 4,Intel Core i5-2500K,NVIDIA GeForce GTX 1050,8 GB,43 GB
BIGFOOT,Intel Core i3-8130U,NVIDIA GeForce GT 730,2 GB,10 GB
Attack on Titan 2 - A.O.T.2 - 進撃の巨人２,Intel Core i5-2400,NVIDIA GeForce GTX 660,6 GB,30 GB
"The Legend of Heroes: Kai no Kiseki -Farewell, O Zemuria-",Intel Core i5-3470,Unknown,8 GB,55 GB
Hard Bullet,Intel Core i5-10400,NVIDIA GeForce GTX 1070,8 GB,20 GB
Wolfenstein: The Old Blood,Intel Core i5-2500,Unknown,4 GB,38 GB
DEATHLOOP,Intel Core i5-8400,AMD Radeon RX 580,12 GB,30 GB
Sonic Generations Collection,Intel Core 2 Duo Q6867,ATI Radeon HD 2900 GT,2 GB,11 GB
NBA 2K19,Intel Core i3-530,AMD Radeon HD 7770,4 GB,80 GB
Tennis Elbow 4,Intel Core i3-3217UE,ATI Radeon HD 5750,4 GB,4 GB
Bendy and the Ink Machine,Intel Core i5-12400T,AMD Radeon R5 M230,8 GB,2 GB
Far Cry,Intel Core 2 Duo E8400,Unknown,256 MB,4 GB
Pioneers of Pagonia,Intel Core i5-1300F,Unknown,8 GB,5 GB
Bendy and the Dark Revival,Intel Core 2 Duo E8400,Unknown,8 GB,15 GB
Visions of Mana,Intel Core i5-6400,Unknown,16 GB,45 GB
The Last Stand: Aftermath,Intel Core i5-10400F,AMD Radeon RX 570,8 GB,5 GB
RAGE 2,Intel Core i5-3570,AMD Radeon R9 280,8 GB,50 GB
Burnout Paradise Remastered,Intel Core i3-2120,ATI Radeon HD 5750,4 GB,8 GB
The Walking Dead: A New Frontier,Intel Core 2 Duo Q6867,NVIDIA GeForce GTS 450,3 GB,8 GB
VR HOT,Intel Core i5-12400T,NVIDIA GeForce GTX 1080 Ti,16 GB,25 GB
Tom Clancy’s Splinter Cell Blacklist,Intel Core 2 Duo E6400,NVIDIA GeForce 7200 GS,2 GB,25 GB
I Am Fish,Intel Core i5-3470,NVIDIA GeForce GTX 960,6 GB,12 GB
Aerofly FS 4 Flight Simulator,Intel Core i5-4590,AMD Radeon RX Vega 7,8 GB,100 GB
Tom Clancy's Ghost Recon: Future Soldier,Intel Core i5-1300F,Unknown,2 GB,25 GB
F1 2017,Intel Core i3-530,NVIDIA GeForce GTX 460,8 GB,40 GB
Darksiders,Intel Pentium 4 4.00GHz,ATI Radeon X1900,1 GB,12 GB
Cinemaster Cinema Simulator,Intel Core i5-12400T,NVIDIA GeForce GTX 1050,4 GB,5 GB
Underground Garage,Intel Core i5-4590,Unknown,8 GB,8 GB
Crysis 2,AMD Athlon 64 X2 3800+,NVIDIA GeForce 8800 GT,2 GB,9 GB
Jujutsu Kaisen Cursed Clash,Intel Core i3-2125,Unknown,4 GB,10 GB
Enotria: The Last Song,Intel Core i5-6600,Unknown,16 GB,50 GB
Ambulance Life: A Paramedic Simulator,Intel Core i7-8700K,Unknown,16 GB,60 GB
Prince of Persia: The Forgotten Sands,AMD Athlon 64 X2 4400+,ATI FireMV 2400 PCIe,1 GB,8 GB
F1 2016,Intel Core i3-530,NVIDIA GeForce GTX 460,8 GB,30 GB
Sex Formula,Intel Core 2 Duo E8400,NVIDIA GeForce GTX 1050,12 GB,30 GB
MADiSON,Intel Core i3-2340UE,AMD Radeon R7 370,6 GB,10 GB
Midnight Fight Express,Intel Core i7-7500U,Intel HD Graphics 620,8 GB,7 GB
THE HOUSE OF THE DEAD: Remake,Intel Core i5-3570K,Unknown,8 GB,7 GB
Horizon,Intel Core 2 Duo Q6867,NVIDIA GeForce 7200 GS,2 GB,5 GB
Ironsight,Intel Core 2 Duo E7500,NVIDIA GeForce 9600 GT,4 GB,8 GB
Hearthstone,Intel Pentium D 805,NVIDIA GeForce 8600 GT,3 GB,3 GB
The Parasites,Intel Core i5-3570,Unknown,8 GB,17 GB
Sword & Shield Simulator,Intel Core i7-6700,NVIDIA GeForce GTX 1070,4 GB,10 GB
Windows 10,Unknown,Unknown,Unknown,Unknown
SteamVR Performance Test,Intel Core 2 Duo U7600,NVIDIA GeForce 8600 GT,2 GB,Unknown
UNDISPUTED,Intel Core i5-4400E,NVIDIA GeForce GTX 760,4 GB,Unknown
Elite Dangerous: Odyssey,Intel Core i5-4590,NVIDIA GeForce GTX 780,8 GB,75 GB
Kingdom Hearts 3,Intel Core i5-3330,NVIDIA GeForce GTX 760,8 GB,75 GB
Car Repair,Intel Core i5-12400T,Unknown,8 GB,30 GB
Operation Lovecraft: Fallen Doll,Intel Core i5-7500,Unknown,12 GB,15 GB
Splitgate 2,Intel Core i5-2500K,Unknown,8 GB,Unknown
Violet,Intel Core i5-10400,NVIDIA GeForce GTX 1060,4 GB,35 GB
Split Fiction - Friend's Pass,Intel Core i5-6600K,AMD Radeon RX 470,16 GB,85 GB
Switch,Intel Pentium 4 2.00GHz,NVIDIA GeForce 510,4 MB,100 MB
Genius Calculator,Intel Pentium 4 2.00GHz,Unknown,1 GB,50 MB
3DXChat,Intel Core i3-2340UE,AMD Radeon HD 5450,4 GB,10 GB
Threads of Time,Intel Core i5-12400T,NVIDIA GeForce 510,4 GB,Unknown
Prince of Persia: The Lost Crown,Intel Core i5-4460  / Ryzen 3 1200,NVIDIA GeForce GTX 950  / Radeon RX 5500 XT,8 GB,30 GB
Blue Prince,Intel Core i5-2300,NVIDIA GeForce GTX 1060,16 GB,6 GB
GOALS,Intel Core i5-12400T,Unknown,4 GB,Unknown
Yu-Gi-Oh! Master Duel,Intel Core i5-7300U,Intel HD Graphics 620,8 GB,16 GB
Russian Fishing 4,Intel Core i3-530,NVIDIA GeForce GTX 550 Ti,4 GB,20 GB
Brotato,Intel Core i3-2310M,ATI FireMV 2260,4 GB,200 MB
STALCRAFT,Intel Core i5-3470,Unknown,4 GB,50 GB
Timberborn,Intel Core i5-12400T,AMD Radeon R9 380,4 GB,3 GB
SMITE,Intel Core 2 Duo T7700,NVIDIA GeForce 8800 GTX,4 GB,30 GB
Red Dead Online,Intel Core i5-2500K,AMD Radeon R9 280,4 GB,150 GB
Grim Dawn,Intel Core i3-2100,NVIDIA GeForce 6800,2 GB,5 GB
Mystery Mask: The Immortal Soul,Intel Core i5-8400  / Ryzen 3 3300X,NVIDIA GeForce GTX 970  / Radeon RX 580,16 GB,25 GB
Rivals 2,Intel Core 2 Duo Q6867,NVIDIA GeForce GTX 1060,4 GB,20 GB
Phantasy Star Online 2,Intel Core i3-4150,NVIDIA GeForce GT 430,8 GB,103 GB
KINGDOM HEARTS HD 1.5 + 2.5 ReMIX,Intel Core i3-3210,NVIDIA GeForce GTX 750,4 GB,60 GB
Godot Engine,Intel Core 2 Duo E8400,NVIDIA GeForce 6200,4 GB,Unknown
Inscryption,Intel Core i5-760,AMD Radeon HD 6850,4 GB,3 GB
Nioh 2 – The Complete Edition,Intel Core i5-4460,NVIDIA GeForce GTX 970,6 GB,85 GB
Sins of a Solar Empire II,Intel Core i5-12400T,Unknown,8 GB,20 GB
Tower of Fantasy,Intel Core i5-4400E,NVIDIA GeForce GT 1030,8 GB,25 GB
Scrap Mechanic,Intel Core 2 Duo Q6867,Intel HD 520,8 GB,15 GB
Nightingale,Intel Core i7-3770,NVIDIA GeForce GTX 1070,16 GB,100 GB
Solasta Crown of the Magister,Intel Core i5-3570K,NVIDIA GeForce GTX 950,8 GB,20 GB
Granblue Fantasy Versus: Rising,Intel Core i5-3470,AMD Radeon HD 6870,4 GB,20 GB
Sunkenland,Intel Core 2 Duo Q6867,NVIDIA GeForce 8800 GT,8 GB,Unknown
Pax Dei,Intel Core i5-7600K,AMD Radeon RX 5700,16 GB,80 GB
Derail Valley,Intel Core i5-7400,NVIDIA GeForce GTX 650,16 GB,6 GB
CHRONO TRIGGER,Intel Core i3-530,Intel HD 530,4 GB,2 GB
MultiVersus,Intel Core i5-2300,AMD Radeon HD 7770,4 GB,Unknown
Drug Dealer Simulator 2,Intel Core i5-8400,Unknown,16 GB,30 GB
Roboquest,Intel Core i3-4130,NVIDIA GeForce GTX 660,8 GB,6 GB
Nuclear Option,Intel Core i5-7600K,AMD Radeon HD 5450,8 GB,2 GB
South Park: The Fractured But Whole,Intel Core i5-2400,AMD Radeon HD 7850,6 GB,20 GB
Big Ambitions,Intel Core i5-12400T,NVIDIA GeForce GTX 960,8 GB,12 GB
The Escapists 2,Intel Core 2 Duo E8400,Unknown,2 GB,4 GB
Liftoff: FPV Drone Racing,Intel Core i5-1300F,Unknown,8 GB,25 GB
Getting Over It with Bennett Foddy,Intel Core 2 Duo Q6867,Intel HD 4000,2 GB,2 GB
Windblown,Intel Core i5-12400T,Unknown,8 GB,4 GB
Remnant: From the Ashes,Intel Core i3-7350K,AMD Radeon RX 470,8 GB,Unknown
Gang Beasts,Intel Core 2 Duo E8400,Unknown,4 GB,2 GB
ContractVille,Intel Core i5-8400,Unknown,8 GB,16 GB
S.T.A.L.K.E.R.: Shadow of Chernobyl,Intel Pentium 4 2.00GHz,NVIDIA GeForce 9600 GT,512 MB,6 GB
City Car Driving,Intel Core 2 Duo E8400,AMD Radeon R7 240,4 GB,10 GB
Street Fighter V,Intel Core i3-4160,NVIDIA GeForce GTX 480,6 GB,Unknown
Songs of Conquest,Intel Core i5-4400E,Unknown,8 GB,4 GB
Borderlands,Intel Pentium 4 2.40GHz,ATI Radeon 3000,1 GB,8 GB
Stronghold Crusader 2,Intel Core 2 Duo Q6867,Unknown,2 GB,4 GB
OUTBRK,Intel Core i5-8400,NVIDIA GeForce GTX 970,12 GB,60 GB
Command & Conquer™ Generals,Intel Core i5-1300F,NVIDIA GeForce 8500 GT,1 GB,2 GB
Treasure of Nadia,Intel Core 2 Duo Q6867,AMD Radeon HD 6250,2 GB,9 GB
ONE PIECE: PIRATE WARRIORS 4,Intel Core i5-3450,Unknown,8 GB,25 GB
War on the Sea,Intel Core i5-12400T,NVIDIA GeForce 510,4 GB,4 GB
JoJo's Bizarre Adventure: All-Star Battle R,Intel Core i3-6300,Unknown,8 GB,6 GB
Cruelty Squad,Intel Core i7-7700HQ,NVIDIA GeForce GTX 1050,2 GB,1000 MB
Monster Hunter Stories,Intel Core i5-3470,Unknown,4 GB,20 GB
Infinite Lagrange,Intel Core i3-2340UE,ATI FireMV 2260,2 GB,1 GB
The Ranch of Rivershine,Intel Core i5-12400T,NVIDIA GeForce GTX 960,8 GB,5 GB
NIGHT-RUNNERS™ PROLOGUE,Intel Core i5-4460,Unknown,8 GB,8 GB
Reka,Intel Core i5-6400,Unknown,8 GB,5 GB
Only Climb: Better Together,Intel Core i3-8100,NVIDIA GeForce GTX 1060,12 GB,15 GB
Arcadegeddon,Intel Core i5-1300F,Unknown,8 GB,10 GB
Tropico 5,Intel Core 2 Duo Q6867,Intel HD 4000,4 GB,4 GB
City Bus Manager,Intel Core i5-1300F,NVIDIA GeForce GTX 760,8 GB,5 GB
Saints Row 2,Intel Core 2 Duo E8400,NVIDIA GeForce 7600 GT,1 GB,15 GB
Banishers: Ghosts of New Eden,Intel Core i3-8300,Unknown,8 GB,52 GB
SOMA,Intel Core 2 Duo E8400,Unknown,4 GB,25 GB
STAR WARS - The Force Unleashed Ultimate Sith Edition,Intel Core 2 Duo Q6867,NVIDIA GeForce 8600 GT,2 GB,30 GB
"Little Kitty, Big City",Intel Core i5-760,NVIDIA GeForce GTX 650,4 GB,4 GB
Life is Strange Remastered,Intel Core i3-2100,NVIDIA GeForce GTX 460,4 GB,42 GB
BIOMUTANT,Intel Core i5-4690K,AMD Radeon R9 380,8 GB,25 GB
Hatred,Intel Core i5-750,Unknown,4 GB,5 GB
Road 96 ?️,Intel Core i5-4460,Unknown,8 GB,15 GB
Unravel Two,Intel Core i3-2120,NVIDIA GeForce GTX 650 Ti,4 GB,8 GB
We Happy Few,Intel Pentium 4 2.00GHz,NVIDIA GeForce GTX 460,8 GB,6 GB
Indigo Park,Intel Core 2 Duo E8400,NVIDIA GeForce 510,4 GB,Unknown
Citizen Sleeper 2: Starward Vector,Intel Core i5-12400T,NVIDIA GeForce 7100 / nForce 630i,4 GB,2 GB
Century: Age of Ashes,AMD FX-8350,Unknown,6 GB,10 GB
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,AMD Athlon 64 X2 6400+,NVIDIA GeForce 8500 GT,2 GB,23 GB
Zero Hour,Intel Core i3-7100,Unknown,12 GB,25 GB
Peripeteia,Intel Core i5-12400T,Unknown,6 GB,Unknown
RAGE,Intel Core 2 Duo Q6867,ATI Radeon HD 4200,2 GB,25 GB
Steelrising,Intel Core i7-3770,Unknown,8 GB,67 GB
Corner Kitchen Fast Food Simulator,Intel Core i7-6700,NVIDIA GeForce GTX 1060,8 GB,4 GB
Prison Simulator,Intel Core i3-2340UE,Unknown,8 GB,6 GB
NBA 2K18,AMD Phenom II X4 805,NVIDIA GeForce GTX 770,4 GB,70 GB
WRC 10 FIA World Rally Championship,Intel Core i5-2300,Unknown,8 GB,Unknown
The Bus,Intel Core i5-4460,AMD Radeon RX 5500,8 GB,60 GB
Battlefield Hardline,Intel Core i3-530,ATI Radeon HD 5770,4 GB,60 GB
DYNASTY WARRIORS 9 Empires,Intel Core i5-4460,Unknown,6 GB,50 GB
ONE PIECE World Seeker,Intel Core i5-2300,NVIDIA GeForce GTX 660,4 GB,25 GB
Burnout Paradise: The Ultimate Box,Intel Pentium 4 2.80GHz,AMD Radeon X1300,1 GB,4 GB
FAR: Changing Tides,Intel Pentium G4500,AMD Radeon R7 370,4 GB,4 GB
MEMORIAPOLIS,AMD Ryzen 5 3600,Unknown,8 GB,6 GB
TIEBREAK: Official game of the ATP and WTA,Intel Core i3-2100,Unknown,8 GB,50 GB
Rugby 25,Intel Core i3-2100,Unknown,8 GB,30 GB
Dragon's Dogma 2 Character Creator & Storage,Intel Core i5-10600  / Ryzen 5 3600,NVIDIA GeForce GTX 1070  / Radeon RX 5500 XT,16 GB,7 GB
Lost Lullabies: The Orphanage Chronicles,Intel Core i5-3550,Unknown,4 GB,10 GB
The Complex: Found Footage,Intel Core i5-4460,Unknown,4 GB,Unknown
State of Decay,Intel Core 2 Duo Q6867,AMD Radeon HD 2600 XT,2 GB,3 GB
The Inn-Sanity,Intel Core i5-8400,Unknown,6 GB,27 GB
Device Doctor Simulator 2024,Intel Core i5-4690,NVIDIA GeForce GTX 760,8 GB,5 GB
Heavy Cargo - The Truck Simulator,Intel Core i3-8100,AMD Radeon RX 570,8 GB,40 GB
Miami Paradise,Intel Core i5-12400T,NVIDIA GeForce GTX 1080,8 GB,6 GB
Ashen,AMD FX-4170,Unknown,4 GB,15 GB
Undefeated,Intel Core i5-12400T,Unknown,128 MB,200 MB
MosGhost,Intel Core i5-9400,AMD Radeon RX 6600,8 GB,4 GB
Arma 2,AMD Athlon 3200+,NVIDIA GeForce 7800 GT,1 GB,10 GB
Exoborne,Intel Core i7-8700,NVIDIA GeForce GTX 1660,16 GB,75 GB
Haunted by Femboy,Intel Core i5-12400T,Unknown,512 MB,Unknown
The Voice in the Void,Intel 1300,Intel Media Accelerator 600,70 MB,47 MB
Ertugrul,Intel Core i7-6700,Unknown,16 GB,20 GB
NERO,Intel Core i3-2100,Unknown,4 GB,12 GB
XDefiant,AMD Ryzen 5 1400  / Core i7-4790K,AMD Radeon RX 560  / GeForce GTX 1050 Ti,8 GB,35 GB
Tony Hawk's™ Pro Skater™ 3 + 4,Intel Core 2 Duo E8400,NVIDIA GeForce 510,4 GB,Unknown
TFT requirements,Intel Pentium 4 2.00GHz,AMD Radeon HD 5670,4 GB,12 GB
One More Night,Intel Core 2 Duo Q6867,NVIDIA GeForce 9800 GT,2 GB,1 GB
Stronghold Crusader: Definitive Edition,Intel Core i3-6100,AMD Radeon HD 5450,8 GB,7 GB
Maximum,Intel Core 2 Duo Q6867,Unknown,512 MB,10 MB
SWORN,Intel Core 2 Duo E4700,ATI Radeon HD 5770,4 GB,5 GB
"One Iced Latte With Your Breast Milk, Please! ☕",Intel Core 2 Duo Q6867,Unknown,512 MB,600 MB
Metin2,Intel Core i5-4400E,NVIDIA GeForce 7200 GS,1 GB,6 GB
Train Simulator,Intel Core i3-540,NVIDIA GeForce GTX 960,8 GB,7 GB
Pine Harbor,Intel Core i3-8100,Unknown,8 GB,15 GB
FootballLife,Intel Core i5-5350U,NVIDIA GeForce GT 630,8 GB,1 GB
Life After End,Intel Core i5-4460,Unknown,8 GB,65 GB
Rune Factory: Guardians of Azuma,Intel Core i5-10400,NVIDIA GeForce GTX 1650,8 GB,20 GB
Rogue Company,Intel Core i5-2320,NVIDIA GeForce GTX 650,4 GB,20 GB
Race Master,Intel Core i5-12400T,AMD Radeon R9 270,4 GB,4 GB
Overwatch,AMD Phenom 8650,ATI Radeon HD 4850,4 GB,30 GB
Anthem,AMD FX-6350,NVIDIA GeForce GTX 970,8 GB,50 GB
Magic: The Gathering Arena,AMD Athlon 64 X2 5600+,NVIDIA GeForce 8800 GTX,2 GB,10 GB
Don't Starve Together,Intel Pentium 4 2.00GHz,AMD Radeon HD 5450,1 GB,750 MB
Slay the Spire,Intel Pentium 4 2.00GHz,NVIDIA GeForce 8300 GS,4 GB,1 GB
Oxygen Not Included,Intel Core 2 Duo T5750,Intel HD 4600,4 GB,2 GB
MX Bikes,Intel Core i5-4590,Unknown,4 GB,2 GB
Nubby's Number Factory,Intel Core i5-12400T,NVIDIA GeForce 510,4 GB,Unknown
Football Manager 2023,AMD Athlon 64 FX-34,AMD GeForce 9600M GT,4 GB,7 GB
Darkest Dungeon,Intel Core 2 Duo E8400,NVIDIA GeForce 8200M G,2 GB,2 GB
Predecessor,Intel Core i5-4590,Unknown,8 GB,14 GB
PlateUp!,Intel Core 2 Duo E8400,Unknown,8 GB,2 GB
Crusader Kings 2,Intel Pentium 4 2.40GHz,ATI Radeon X1900,2 GB,2 GB
Crossout,Intel Core 2 Duo E8500,AMD Radeon HD 5670,4 GB,5 GB
Starbound,Intel Core 2 Duo U7600,NVIDIA GeForce FX 5500,2 GB,3 GB
Barony,Intel Core i5-1300F,Intel HD 630,4 GB,4 GB
Yomi Hustle,Intel Core i5-7300U,Unknown,512 MB,256 MB
ONE PIECE Bounty Rush,Intel Core i5-2300,AMD Radeon HD 7770,4 GB,7 GB
Brick Rigs,Intel Core 2 Duo Q6867,NVIDIA GeForce 8500 GT,4 GB,2 GB
Total War: NAPOLEON – Definitive Edition,Intel Pentium 4 2.40GHz,NVIDIA GeForce 6200,1 GB,21 GB
FINAL FANTASY X/X-2 HD Remaster,Intel Core 2 Duo Q6867,NVIDIA GeForce 9600 GT,1 GB,37 GB
Prison Architect,Intel Core 2 Duo E4600,NVIDIA GeForce 8600 GT,4 GB,300 MB
Gloomhaven,Intel Core i5-3470,AMD Radeon R9 280,8 GB,14 GB
UBOAT,Intel Core 2 Duo E8400,Unknown,6 GB,71 GB
SPORE,Intel Pentium 4 2.00GHz,Unknown,512 MB,4 GB
Railroader,Intel Core i5-12400T,NVIDIA GeForce GTX 1660,8 GB,8 GB
Pummel Party,Intel Core 2 Duo Q6867,Unknown,3 GB,1 GB
Banished,Intel Core 2 Duo Q6867,NVIDIA GeForce 7200 GS,512 MB,250 MB
Digimon Story Cyber Sleuth: Complete Edition,Intel Pentium G4400,AMD GeForce 9800 GTX,4 GB,4 GB
OMORI,Intel Pentium 4 2.00GHz,AMD Radeon HD 6250,4 GB,2 GB
Total War: PHARAOH DYNASTIES,Intel Core i3-2100,Unknown,6 GB,80 GB
